review,label
i got this game because it was recommended to me as a somewhat newer game with decent graphics that actually has regular non team deathmatch online play which is hard to find anymore since the game companies seem to want to focus on team play. nobody is playing doom online. i can wait for an hour in the lobby and nobody shows up. it doesn't matter what time of day or night it doesn't matter what region i set nobody shows up making this game utterly worthless for multiplayer which was the only reason i bought it.,Production
i bought payday 2 on steam i want my steam features i don't care about more public players i play with my stream friends and that functionality is now so broken its not even funny. when i only care about playing with friends breaking the friend system is a big deal. i wish i could refund this game i would have never bought it in this state. its bullshit that they can ruin games with mandatory patches after i buy it.,Operations
standard unbalanced triple a moshpit slop. not terrible but not good iether buy if its sub 10 on a discount. also i cant even play it anymore because it crashes when i try to load a multiplayer game and ea support just doesnt work.,Design
tried to play enter a game and frikkin jitter freeze made it unplayable tried to fix it with 9 milion ways but to no avail this game is for the trash bin!!!!!!! whoever reads this download it but if you get jitter leave you cant fix it.,Production
ea splash screen death to my fav jump in jump out game. d o g shit,Operations
they broke it and im not buying the 3rd game till this is fixed just goes to show that overkill doesnt really care about its community ie lemme break my cash cow right before our next game comes out in hopes the players from 2 with all its bloated content to get on 3 with its bare bones launch. spent way to much money on this just to have somebody break it. never again overkill.,Production
dumbass game with a decent play style though. unreal stories missing story parts of wwii cheaters won't get banned and few servers are playable. every time the game is on sale a bunch of new idiots rush in so the veteran players can have their fun. it was great when the game was first published and the dice team was like they got brain cancer or something. they decided to make another shitty game bf2042 which i requested for a refund after 10 mins playtime. respawn points are dumb as hell either far away and become moving targets either too close or just respawn right on the enemy's face.,Operations
cheating,Operations
this game is broken mess worse than valorant.,Production
for those planning to play doom 2016 on i m too young to die difficulty i know i gave a thumbs down and i genuinely didn t want to. this is easily one of the best games of all time. it has everything flawless graphics a gripping storyline and fights that are both challenging and creative. so why the thumbs down? spoiler alert near the end the game throws a couple of demons at you that push the difficulty to an unreasonable level. honestly it took all the fun out of it. my thumbs are blistered as i write this and my controller is threatening to call the cops for abuse. i couldn t finish the game and this is my petty revenge.,Production
i hate a game that has so much potential only to let you down. it reminds me of my ex wife you think you got something good then the nightmare starts.,Production
lots of bugs,Production
unplayable game,Design
played it with friend long ago on multi the game feels bad kinda funky in a way didn't really enjoy it,Production
no,Design
fucking let le skip your shit animations. they are fucking horrible and make no fucking sense.you butchered the people whom fought in this war and made them sound like littel faggots. fuck dice. fuck battlefield devs. they all deserve to burn.,Production
ea need to get over themselves with their anti cheat crap!! i just want to play the single player version but when i go to load it comes up with the latest version of ea anti cheat is required to play! it installed the crappy anti cheat after i wasted my time downloading 90gig worth of data!! if the latest version isn't on the game files then too bad! i shouldn't have to jump through bloody hoops just to play a game that i've paid good money for!!!! what a joke!!,Design
bf1,Design
asdewxs,Operations
it requires a separate launcher. it's woke. its campaign is too short.,Operations
with drx or dlss the game is unplayable. yes i know it was early days and they subtly warn you in the settings but even without it the game still runs terribly. transport and camera constantly twitch like they're lagging behind the render. with all complex settings turned off i m getting an average of about 100 fps but 1 lows drop to 30 40 and of course the dips always happen at the worst moments. i spent some time researching and found tons of articles and discussions about people experiencing inconsistent fps and performance drops on the pc version. you have to tweak settings disable dx12 stick to medium quality and so on but i m over it. a mainline aaa title from a major studio with a 200 million budget shouldn't run like this.,Design
apex is offering another perk simply click to uninstall and you'll free up 82.75gb of hard drive space for free.,Production
unable to connect ea server,Production
need origin to play it.,Operations
garbage game,Operations
i only played campaign so here's the review for the campaign. it sucked. the story was great but the gameplay is repetitive. only the the last tiger campaign that felt different and the greatest one . compared to battlefield 1's campaign it's just bad.,Production
buggy af,Design
nothing spec rly...,Operations
literally unplayable. the back button doesnt work in the main menu forcing me to alt f4 every time i restart the game i have to play through the unskippable intro again forgets all my settings. i am not playing the intro mission for the third time,Operations
next game is going to have child soldiers if this garbage keeps up.,Production
got bored fast recommend if you want something temporary to play and waste you'r money,Operations
dying simulator all i can say,Operations
enfia o tank junto com o avi o no,Production
lag,Production
cant even launch this shit. i hate ea games,Production
